,ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
58410,1000006397,No,VIVO Datacenter Tambore,"Av. Marcos Penteado De Ulhoa Rodrigues, Quadra 68 - Lote PT.",Santana De Parnaiba,SP,06543-001,BR,LEED-NC v2009,64.0,Gold,10/31/12 0:00,Yes,Corporate: Privately Held,363928.66,765538.0,Datacenter,Vivo,5/13/10 0:00
59722,1000008025,No,MONDELEZ BRASIL - VSA,"BR 232,KM52",VITORIA DE SANTO ANTAO,PE,55610-200,BR,LEED-NC v2009,53.0,Silver,10/29/12 0:00,Yes,Corporate: Privately Held,234221.82,3336290.0,Industrial Manufacturing,Mondelez Brasil (formerly Kraft Foods),7/27/10 0:00
61855,1000010545,No,Fleury Medicina e Saude Unid Alphaville,"Alameda Araguaia, Sn",Barueri,SP,06455-000,BR,LEED-NC v2009,62.0,Gold,11/26/12 0:00,Yes,Corporate: Privately Held,61767.52,35264.0,"Health Care: Outpatient, Office (Diagnostic)",Fleury Medicina E Saude,10/29/10 0:00
63088,1000012158,No,BD - Retrofit SP Office,"Avenida Alexandre Dumas, 1976",Sao Paulo,SP,04717-004,BR,LEED-NC v2009,50.0,Silver,8/28/13 0:00,Yes,Corporate: Privately Held,41640.62,45447.0,Office: Administrative/Professional,Becton Dickinson Industrias Cirurgicas L,1/12/11 0:00
63778,1000013055,No,Edificio Cidade Nova III,"R Julio Do Carmo, 251",Rio de Janeiro,RJ,20211-160,BR,LEED-NC v2009,43.0,Certified,4/22/15 0:00,Yes,Corporate: Privately Held,237371.3,26583.0,Office: Administrative/Professional,Confidere ImobiliÇ­ria Incorporadora E A,2/15/11 0:00
64450,1000013966,No,Powertrain Facility - General Motors BR,Rodovia BR 101,Joinville,SC,89213-205,BR,LEED-NC v2009,60.0,Gold,1/17/14 0:00,Yes,Corporate: Privately Held,198846.0,2796954.0,Industrial Manufacturing,General Motors Do Brasil,3/24/11 0:00
67057,1000017167,No,UNILEVER - Feel Good,"Av. Prefeito Olavo Gomes, 3701",Pouso Alegre,MG,04568-000,BR,LEED-NC v2009,56.0,Silver,5/28/13 0:00,Yes,Corporate: Privately Held,4998.0,18665.0,Public Assembly: Social/Meeting,Unilever Brasil,7/18/11 0:00
67092,1000017210,No,Coca-Cola FEMSA BR - Facilities Maringa,"Avenida Sabia, S/n Distrito Industrial",Maringa,PR,87070-400,BR,LEED-NC v2009,67.0,Gold,9/11/13 0:00,Yes,Corporate: Privately Held,10991.55,171825.0,Service: Other Service,SPAIPA S/A,7/20/11 0:00
67095,1000017213,No,Coca-Cola FEMSA BR - Plant Maringa,"Avenida Sabia, S/n Distrito Industrial",Maringa,PR,87070-400,BR,LEED-NC v2009,50.0,Silver,5/9/14 0:00,Yes,Corporate: Privately Held,296862.36,512645.0,Industrial Manufacturing,SPAIPA S/A,7/20/11 0:00
67471,1000017695,No,Garagem Urubupunga Administracao,"Rua Estrela D Alva, 6, Lote 3",Santana De Parnaiba,SP,06528-330,BR,LEED-NC v2009,50.0,Silver,5/16/13 0:00,Yes,Corporate: Privately Held,18441.05,129160.0,Office: Administrative/Professional,Auto Viacao Urubupunga,8/8/11 0:00
67472,1000017697,No,Garagem Urubupunga Manutencao,"Rua Estrela D Alva, 6, Lote 3",Santana De Parnaiba,SP,06528-330,BR,LEED-NC v2009,60.0,Gold,5/16/13 0:00,Yes,Corporate: Privately Held,76994.46,691394.0,Service: Vehicle Service/Repair,Auto Viacao Urubupunga,8/8/11 0:00
68136,1000018571,No,Geo Eletrica Tamboara,"Estrada Divis_ria, Km1, Gleba 3",Tamboara,PR,87760-970,BR,LEED-NC v2009,60.0,Gold,9/10/13 0:00,Yes,Corporate: Privately Held,1072.26,52796.0,Office: Administrative/Professional,Geo Eletrica Tamboara Bioenergia SPE,9/13/11 0:00
68228,1000018714,No,Nova Sede LORENGE SA,Rua Izidro Benezath,Vitoria,ES,29050-300,BR,LEED-NC v2009,60.0,Gold,10/23/13 0:00,Yes,Corporate: Privately Held,41063.67,18326.0,Office: Administrative/Professional,SIX PARTICIPAAiES LTDA.,9/19/11 0:00
68575,1000019133,No,CN II,Rua Correia Vasques,Rio De Janeiro,RJ,20211-140,BR,LEED-NC v2009,49.0,Certified,4/2/15 0:00,Yes,Corporate: Privately Held,389300.0,57415.0,Office: Administrative/Professional,Confidere Incorporadora Imobiliaria,10/5/11 0:00
69002,1000019693,No,VA Casa na Praia,Rodovia Osvaldo Reis 3600,Itajai,SC,88360-002,BR,LEED-NC v2009,54.0,,,No,Corporate: Privately Held,3072.69,4765.0,Retail: Other Retail,IDA Administra_Oo Bens Particulares Ltda,10/26/11 0:00
69503,1000020388,No,CENTRO EMPRESARIAL OFFICE PARK BLOCO III,"Rod. SC-401, Km 05 Saco Grande II",Florianopolis,SC,88032-005,BR,LEED-NC v2009,52.0,Silver,3/6/14 0:00,Yes,Corporate: Privately Held,49134.1,38955.0,Office: Mixed-Use,GOMES PARTICIPACOES SOCIETARIAS LTDA,11/24/11 0:00
71213,1000022629,No,Predio 10 Entrada Borg Warner Brasil,"Rua Fioravante Piovani, S/N, Gleba 3",Itatiba,SP,13257-700,BR,LEED-NC v2009,50.0,Silver,3/5/14 0:00,Yes,Corporate: Privately Held,10531.95,48618.0,Office: Other Office,BorgWarner,2/24/12 0:00
71215,1000022631,No,Predio 60 Engenharia Borg Warner Brasil,"Rua Fioravante Piovani, S/N, Gleba 3",Itatiba,SP,13257-700,BR,LEED-NC v2009,51.0,Silver,10/3/14 0:00,Yes,Corporate: Privately Held,15905.4,171144.0,Office: Other Office,BorgWarner Brasil Lda,2/24/12 0:00
71217,1000022633,No,Predio 70 Refeitorio Borg Warner Brasil,"Rua Fioravante Piovani, S/N, Gleba 3",Itatiba,SP,13257-700,BR,LEED-NC v2009,51.0,Silver,4/9/14 0:00,Yes,Corporate: Privately Held,6432.73,187826.0,Office: Other Office,BorgWarner Brasil Lda,2/24/12 0:00
71218,1000022635,No,Predio 80 Industrial Borg Warner Brasil,"Rua Fioravante Piovani, S/N, Gleba 3",Itatiba,SP,13257-700,BR,LEED-NC v2009,49.0,,,No,Corporate: Privately Held,143670.6,629199.0,Office: Other Office,BorgWarner Brasil Lda,2/24/12 0:00
