,ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
54162,1000001137,No,UFB New Hope Oncology Center,9-11 Jiangtai XiLu,Beijing,Beijing,100016,CN,LEED-NC v2009,44.0,Certified,9/13/12 0:00,Yes,Corporate: Privately Held,27243.0,23306.0,Health Care: Clinic/Other Outpatient,United Family Hospitals and Clinics,8/10/09 0:00
54681,1000001797,No,Swire Coca-Cola Plant Luohe,"68 Kexue Avenue,High-New Technology Industries",Zhengzhou,Henan,462000,CN,LEED-NC v2009,81.0,Platinum,10/8/11 0:00,Yes,Corporate: Privately Held,358577.0,974946.0,Industrial Manufacturing,AECOM,9/26/09 0:00
54994,1000002205,No,YCH Shanghai Lingang Logistics Center,Shanghai Yangshan Free Trade Port Area,Shanghai,Shanghai,201308,CN,LEED-NC v2009,49.0,Certified,4/14/10 0:00,Yes,Corporate: Privately Held,452286.0,463477.0,"Warehouse and Distribution Center: Nonrefrigerated, Distribu",YCH Group,10/25/09 0:00
55380,1000002695,No,Zibo Vitreous Office Building,8 Mengshan Road,Huangtai County,Shandong,256400,CN,LEED-NC v2009,70.0,Gold,10/26/11 0:00,Yes,Corporate: Privately Held,26845.0,244222.0,Office: Administrative/Professional,The Kohler Co.,11/25/09 0:00
57849,1000005701,No,MARS China National Office Building,Yanqi Economic Development Zone,Beijing,Beijing,110000,CN,LEED-NC v2009,72.0,Gold,3/5/14 0:00,Yes,Corporate: Privately Held,149261.9,396392.0,Office: Administrative/Professional,"MARS FOODS (CHINA) CO., LTD.",4/8/10 0:00
58652,1000006700,No,Liberty Clothing Factory,88 Chengfeng Road,Jintan,Jiangsu,213200,CN,LEED-NC v2009,49.0,Certified,1/8/14 0:00,Yes,Corporate: Privately Held,344634.0,78193.0,Industrial Manufacturing,Jiangsu Liberty Clothing Co Ltd,6/1/10 0:00
59664,1000007957,No,ENN smart energy service building,"East Side Of Xinyuan Street, Huaxiang Road",Langfang,Hebei,65001,CN,LEED-NC v2009,82.0,Platinum,3/10/13 0:00,Yes,Corporate: Privately Held,85764.0,160511.0,Office: Administrative/Professional,Xin Ao Group,7/26/10 0:00
60440,1000008852,No,Siemens Metal Tech Operation Center PRC,"No.65 Chunguang Road, Minghang District",Shanghai,Shanghai,200000,CN,LEED-NC v2009,51.0,Silver,7/9/12 0:00,Yes,Corporate: Privately Held,64370.54,70467.0,Office: Mixed-Use,Siemens,8/23/10 0:00
60456,1000008873,No,Beijing XingDeBao BMW 5S Shop,YaujiaDian Road,Beijing,Beijing,100000,CN,LEED-NC v2009,71.0,Gold,6/24/13 0:00,Yes,Corporate: Privately Held,286711.0,254248.0,Retail: Vehicle Dealership,Beijing XingDeBao Auto Sales & Service C,8/23/10 0:00
61850,1000010534,No,Coca-Cola Facility in HangZhou,"No29, 10th Avenue, Economical And Technical Development Zone",HangZhou,Zhejiang,310018,CN,LEED-NC v2009,62.0,Gold,6/11/12 0:00,Yes,Corporate: Privately Held,144614.0,361310.0,Industrial Manufacturing,Coca-Cola,10/29/10 0:00
61864,1000010557,No,Guiyang Convention Center-Hotel,"North Changling Road, Jinyang District",Guiyang,Guizhou,550000,CN,LEED-NC v2009,62.0,Gold,3/24/13 0:00,Yes,Corporate: Privately Held,714552.1,360263.0,"Lodging: Hotel/Motel/Resort, Full Service",Zhongtian Urban Investment Group,10/30/10 0:00
63361,1000012511,No,Des bu EDG Beijing Office 2010,"Bldg #6, No. 5 Shimen Village, Baiziwan Road",Beijing,Beijing,100022,CN,LEED-NC v2009,70.0,Gold,3/27/12 0:00,Yes,Corporate: Privately Held,7497.8,13235.0,Office: Administrative/Professional,"Environetics Design Group International,",1/24/11 0:00
