,ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
55568,1000002936,No,SCHNEIDER ELECTRIC TRANSFORMER FACTORY,TOSB Cayirova Kocaeli,Kocaeli,Kocaeli,41480,TR,LEED-NC v2009,61.0,Gold,9/12/11 0:00,Yes,Corporate: Privately Held,368011.0,749276.0,Industrial Manufacturing,SCHNEIDER ENERGY INDUSTRY A.S.,12/9/09 0:00
55980,1000003448,No,Li Fung Centre,Yenibosna,Istanbul,Istanbul,34550,TR,LEED-NC v2009,54.0,Silver,7/17/11 0:00,Yes,Corporate: Privately Held,86013.0,184290.0,Office: Administrative/Professional,Li Fung,12/25/09 0:00
56020,1000003493,No,ESER HOLDING HEADQUARTERS,Turan Gunes Bulv. Cezayir Cad. 718. Sokak No:14,Ankara,Ankara,6550,TR,LEED-NC v2009,92.0,Platinum,2/14/11 0:00,Yes,Corporate: Privately Held,75039.0,25241.0,Office: Administrative/Professional,Eser Holding,12/29/09 0:00
58487,1000006498,No,GELAL SOCKS FACTORY,Sabanozu Organize Sanayi Bolgesi,CANKIRI,Cankiri,18650,TR,LEED-NC v2009,60.0,Gold,8/28/13 0:00,Yes,Corporate: Privately Held,71683.6,71688.0,Industrial Manufacturing,GELAL CORAP,5/18/10 0:00
60401,1000008803,No,BAYLO SUITES,Galata Kulesi Sokak No. 24 Beyoglu,Istanbul,Istanbul,34420,TR,LEED-NC v2009,55.0,Silver,6/7/11 0:00,Yes,Corporate: Privately Held,3550.8,592.0,Multi-Family Residential: Apartment,Zemin Yatirim,8/19/10 0:00
60677,1000009147,No,BASF CONSTRUCTION CHEMICALS LABORATORIES,"GOSB, Ihsan Dede Cad. 1000.Sok. 41480 Gebze/Kocaeli",Gebze,Kocaeli,41480,TR,LEED-NC v2009,83.0,Platinum,8/18/11 0:00,Yes,Corporate: Privately Held,51408.76,123245.0,Warehouse and Distribution Center: Warehouse,BASF TURK,9/6/10 0:00
62045,1000010780,No,Renaissance Istanbul Bosphorus Hotel,Gayrettepe Mah. Barbaros Bulvari No 145 Besiktas / Turkey,Istanbul,Istanbul,34349,TR,LEED-NC v2009,71.0,Gold,7/6/13 0:00,Yes,Corporate: Privately Held,363982.0,37400.0,"Lodging: Hotel/Motel/Resort, Full Service",Polat Turizm A.S.,11/9/10 0:00
63739,1000013005,No,BIRLESIM ENG PRDCTN-ADMIN BUILDING,Dudullu Organize Sanayii Bolgesi,ISTANBUL,Istanbul,34775,TR,LEED-NC v2009,64.0,Gold,6/22/12 0:00,Yes,Corporate: Privately Held,65528.74,49466.0,Industrial Manufacturing,Birlesim Engineering & Construction,2/14/11 0:00
66772,1000016789,No,CELIKEL TAYSAD FACTORY,Taysad OSB 14. Yol No:6,Kocaeli,Kocaeli,41420,TR,LEED-NC v2009,58.0,Silver,2/5/13 0:00,Yes,Corporate: Privately Held,248382.6,215315.0,Service: Other Service,CELIKEL ALUMINUM,6/29/11 0:00
67513,1000017745,No,METHOD RESEARCH COMPANY,USKUDAR ALTUNIZADE MAH.,USKUDAR,Istanbul,34674,TR,LEED-NC v2009,69.0,Gold,3/13/12 0:00,Yes,Corporate: Privately Held,20897.85,4951.0,Office: Administrative/Professional,METHOD RESEARCH COMPANY,8/10/11 0:00
