,ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossSqFoot,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
53548,1000000194,No,Kyra InfoTech,4454 Florida National Drive,Lakeland,FL,33813,US,LEED-NC v2009,44.0,Certified,8/23/11 0:00,Yes,Corporate: Privately Held,3472.0,10905.0,Commercial Office,PPRKR LLC,5/12/09 0:00
53708,1000000451,No,Office Building,192 Route 22 West,Green Brook,NJ,8812,US,LEED-NC v2009,50.0,Silver,7/15/14 0:00,Yes,Corporate: Privately Held,8068.0,20300.0,Office: Administrative/Professional,Cyzner Properties,6/8/09 0:00
53844,1000000732,No,Carolina Ingredients,1595 Cedar Line Drive,Rock Hill,SC,29730,US,LEED-NC v2009,53.0,Silver,5/21/10 0:00,Yes,Corporate: Privately Held,56000.0,283140.0,Industrial Manufacturing,"Optima Engineering, PA",6/29/09 0:00
54104,1000001059,No,Delta Corporate Headquarters,860 Hooper Road,Endwell,NY,13760,US,LEED-NC v2009,62.0,Gold,11/18/10 0:00,Yes,Corporate: Privately Held,36266.0,119100.0,Office: Administrative/Professional,"Delta Realty Holding, LLC",7/29/09 0:00
54155,1000001129,No,Rocky Mountain Innosphere,300 East Vine,Fort Collins,CO,80524,US,LEED-NC v2009,91.0,Platinum,6/23/11 0:00,Yes,Corporate: Privately Held,32260.0,176971.0,Office: Mixed-Use,Rocky Mountain Innosphere,8/5/09 0:00
54225,1000001213,No,DLR Group Nebraska Office Building,6457 Frances Street,Omaha,NE,68106,US,LEED-NC v2009,60.0,Gold,7/7/14 0:00,Yes,Corporate: Privately Held,40482.0,40563.0,Commercial Office,DLR AK5 LLC,8/13/09 0:00
54277,1000001271,No,CareCore Headquarters Building,1 CareCore Drive,Bluffton,SC,29910,US,LEED-NC v2009,40.0,Certified,4/4/13 0:00,Yes,Corporate: Privately Held,31150.0,72234.0,Office: Administrative/Professional,"Carecore National, LLC",8/20/09 0:00
54372,1000001386,No,Wauna Federal Credit Union,52381 S. Columbia River Highway,Scappoose,OR,97056,US,LEED-NC v2009,54.0,Silver,8/18/11 0:00,Yes,Corporate: Privately Held,2190.0,11158.0,Financial & Comm.,"Kessi Asset Management, LLC",8/28/09 0:00
54384,1000001405,No,426 A Street Project,426 A St.,Ashland,OR,97520,US,LEED-NC v2009,64.0,Gold,3/24/14 0:00,Yes,Corporate: Privately Held,3992.0,6092.0,Retail,"TTW, LLC",8/28/09 0:00
54392,1000001416,No,Kelley Office Building,Blankenbaker Station Development,Louisville,KY,40223,US,LEED-NC v2009,44.0,Certified,8/25/11 0:00,Yes,Corporate: Privately Held,21215.0,76230.0,Office: Other Office,Kelley Construction,8/31/09 0:00
